ontology,class,ranking,agree,disagree/not sure
foaf.rdf,http://xmlns.com/foaf/0.1/Person,1,1,
foaf.rdf,http://xmlns.com/foaf/0.1/Organization,2,1,
foaf.rdf,http://xmlns.com/foaf/0.1/Project,3,1,
foaf.rdf,http://schema.org/CreativeWork,4,1,
foaf.rdf,http://xmlns.com/foaf/0.1/Group,5,1,
dcmitype.ttl,http://purl.org/dc/dcmitype/Dataset,1,1,
dcmitype.ttl,http://purl.org/dc/dcmitype/Event,2,,1
dcmitype.ttl,http://purl.org/dc/dcmitype/Collection,3,,1
dcmitype.ttl,http://purl.org/dc/dcmitype/Service,4,,1
dcmitype.ttl,http://purl.org/dc/dcmitype/PhysicalObject,5,,1
adm.ttl,http://www.w3.org/ns/adms#Asset,1,1,
adm.ttl,http://www.w3.org/ns/adms#AssetDistribution,2,1,
adm.ttl,http://www.w3.org/ns/adms#AssetRepository,3,1,
adm.ttl,http://www.w3.org/ns/dcat#Dataset,4,1,
adm.ttl,http://www.w3.org/ns/dcat#Distribution,5,1,
doap.rdf,http://usefulinc.com/ns/doap#Project,1,1,
doap.rdf,http://usefulinc.com/ns/doap#Repository,2,1,
doap.rdf,http://xmlns.com/foaf/0.1/Person,3,1,
doap.rdf,http://schema.org/CreativeWork,4,1,
doap.rdf,http://xmlns.com/foaf/0.1/Organization,5,1,
org.ttl,http://www.w3.org/ns/org#Organization,1,1,
org.ttl,http://xmlns.com/foaf/0.1/Person,2,1,
org.ttl,http://www.w3.org/ns/org#Membership,3,1,
org.ttl,http://www.w3.org/ns/org#Role,4,1,
org.ttl,http://www.w3.org/ns/org#Post,5,,1
time.ttl,http://www.w3.org/2006/time#Duration,1,1,
time.ttl,http://www.w3.org/2006/time#Instant,2,1,
time.ttl,http://www.w3.org/2006/time#DateTimeInterval,3,1,
time.ttl,http://www.w3.org/2006/time#DateTimeDescription,4,,1
time.ttl,http://www.w3.org/2006/time#TimeZone,5,1,
bibo.rdf,http://purl.org/ontology/bibo/Book,1,1,
bibo.rdf,http://purl.org/ontology/bibo/Article,2,1,
bibo.rdf,http://purl.org/ontology/bibo/Document,3,1,
bibo.rdf,http://xmlns.com/foaf/0.1/Person,4,1,
bibo.rdf,http://purl.org/ontology/bibo/Periodical,5,,1
prov.ttl,http://www.w3.org/ns/prov#Entity,1,1,
prov.ttl,http://www.w3.org/ns/prov#Activity,2,1,
prov.ttl,http://www.w3.org/ns/prov#Person,3,1,
prov.ttl,http://www.w3.org/ns/prov#Organization,4,1,
prov.ttl,http://www.w3.org/ns/prov#Role,5,,1
schemaorg-all-http.ttl,http://xmlns.com/foaf/0.1/Person,1,,1
schemaorg-all-http.ttl,http://schema.org/Organization,2,,1
schemaorg-all-http.ttl,http://schema.org/Event,3,,1
schemaorg-all-http.ttl,http://schema.org/CreativeWork,4,,1
schemaorg-all-http.ttl,http://schema.org/Product,5,,1